MASA ESTATURA GASTO SEXO CIUDAD
60.6 170.8 2000 Mujer CARTAGENA
61.3 158.3 25723.4 Hombre BOGOTA
64.4 166 2000 Hombre CALI
69.4 179.6 3881.1 Hombre MEDELLIN
45 184.5 135696.1 Hombre CARTAGENA
64.7 172.6 2000 Hombre CARTAGENA
52.6 156 18730.5 Hombre ARMENIA
82.3 183 2000 Hombre ARMENIA
61.3 180.4 105022.4 Mujer BARRANQUILLA
73.3 169.7 2000 Mujer CARTAGENA
74.7 173.5 2000 Hombre MEDELLIN
46.4 180.1 2000 Hombre CARTAGENA
69.2 177.7 24702.8 Hombre CARTAGENA
69.5 180.4 133540.2 Hombre BARRANQUILLA
78.2 157.5 41638 Hombre MEDELLIN
62.7 157.9 2000 Mujer BARRANQUILLA
45 167.1 15347 Mujer MEDELLIN
64.9 161.6 87641 Hombre CARTAGENA
63.8 178.4 2000 Mujer BARRANQUILLA
82.9 176.4 72964.2 Mujer CALI
78 169.5 24529.2 Hombre CALI
83.4 163.3 18524.9 Mujer BARRANQUILLA
67.5 154.8 2000 Hombre MEDELLIN
70.3 164.4 2000 Mujer BARRANQUILLA
66.1 156.6 35437.7 Mujer BARRANQUILLA
87.3 163.5 2000 Hombre BOGOTA
60.5 167.5 36794.6 Mujer ARMENIA
66.8 169.9 154647.6 Hombre CARTAGENA
49.7 174.6 2000 Hombre CARTAGENA
66.3 181.2 24296.5 Hombre CALI
52.8 172.5 2000 Hombre MEDELLIN
69.5 151 4342.4 Hombre BOGOTA
52.2 162.7 2000 Hombre BOGOTA
72.1 177.3 14850.1 Mujer CARTAGENA
77.2 168.4 57639.1 Mujer BARRANQUILLA
53.1 165.5 2000 Mujer MEDELLIN
63.1 178.9 2000 Hombre MEDELLIN
80.3 169.1 104401.3 Hombre CARTAGENA
57.9 178.8 67390 Mujer CALI
56.2 167.2 2000 Mujer ARMENIA
51.1 175.9 29088.6 Mujer MEDELLIN
54.3 166.6 56243.4 Hombre BOGOTA
72.6 174.6 79686.5 Mujer BOGOTA
65.8 174 2000 Mujer BOGOTA
49.1 169 87028.5 Hombre CALI
60.7 182.1 133623.3 Hombre CARTAGENA
57.6 169.8 6298.3 Mujer ARMENIA
60.2 173.4 61462.5 Hombre CALI
55.3 178.8 11054.8 Mujer ARMENIA
61.2 173.9 2000 Mujer CARTAGENA
69.3 167.5 15600.2 Mujer BOGOTA
74.9 156.7 49496.7 Mujer BARRANQUILLA
65.4 180.2 11420.9 Hombre MEDELLIN
51.6 151 60059.7 Mujer CALI
70.7 175.4 52436.5 Mujer CALI
74.3 158.9 2000 Hombre ARMENIA
78 169.4 2000 Hombre BARRANQUILLA
83.6 169.2 46906.4 Hombre CALI
62.9 153.9 2000 Hombre MEDELLIN
53.4 164.1 79316.7 Mujer BARRANQUILLA
49.1 158.4 38703.4 Hombre ARMENIA
65.7 160.3 59928.9 Hombre ARMENIA
61 168.1 28520.7 Mujer CALI
56 165.7 73404.2 Hombre BOGOTA
59.7 176.7 49596.1 Mujer MEDELLIN
56.7 160.8 2000 Mujer ARMENIA
74.2 162.9 18848.3 Mujer BOGOTA
68.6 170.3 2000 Hombre CALI
77.5 153.2 35458 Hombre ARMENIA
48.9 168.5 2000 Hombre BOGOTA
67.6 167.8 2000 Mujer CARTAGENA
89.3 161.3 34006.8 Mujer ARMENIA
63.3 165 121832.1 Hombre MEDELLIN
84.7 155.1 69759.1 Hombre BARRANQUILLA
45 162.9 82164.3 Hombre BARRANQUILLA
71.6 166.4 69598.4 Mujer MEDELLIN
82.7 165.7 2000 Mujer BOGOTA
68.5 163.3 65623.5 Hombre BARRANQUILLA
64.2 150.5 10246.3 Mujer CALI
45.4 171.2 19192.6 Hombre CALI
48.7 158.9 2000 Hombre CALI
53.5 167.8 2000 Mujer ARMENIA
68.9 170.4 101550.5 Hombre BOGOTA
58.1 173.6 28220.3 Mujer BOGOTA
45 169 2000 Mujer BOGOTA
58.2 164.9 120187 Hombre MEDELLIN
89.6 161 15660.4 Hombre ARMENIA
57.8 179.4 2000 Hombre CALI
67.2 170.5 59202.3 Mujer BOGOTA
64.7 159.6 43505 Hombre CARTAGENA
63.4 153 2000 Hombre BARRANQUILLA
79.4 174.2 25450.3 Hombre MEDELLIN
79.5 172.6 77238.6 Hombre BOGOTA
78 179.8 2000 Mujer CALI
59.7 179.9 78980.8 Mujer BARRANQUILLA
72.7 190.5 99286.5 Hombre ARMENIA
66.5 158.3 81750.1 Hombre CARTAGENA
65.2 158.9 2000 Hombre BARRANQUILLA
61.6 156.4 157166.2 Hombre MEDELLIN
59.9 164.6 73233.9 Hombre BOGOTA
54 177 9326 Hombre MEDELLIN
68.8 173.7 125822.6 Mujer BOGOTA
80.4 178.8 2000 Mujer ARMENIA
52.8 157.6 15463.8 Mujer ARMENIA
71.6 169.9 63746.3 Hombre CARTAGENA
62.2 174.4 2000 Mujer CALI
73.2 171.4 2000 Mujer MEDELLIN
50.2 181 67335.8 Hombre CALI
70 162.4 2000 Hombre CALI
61.7 175.6 88953 Mujer ARMENIA
54.6 171.4 1622.6 Mujer CALI
77.9 173.7 68268 Hombre MEDELLIN
62 155.7 179343.3 Hombre MEDELLIN
67.5 177.6 52770 Hombre BOGOTA
45 176.6 19311.7 Hombre MEDELLIN
62.5 171.2 32597.2 Hombre CARTAGENA
62.2 166.9 69390.7 Hombre BARRANQUILLA
45 184.3 17744.5 Mujer CARTAGENA
66.2 168.2 11103.4 Hombre BARRANQUILLA
60.9 173.7 10833.3 Hombre CARTAGENA
62 165 1573 Hombre BARRANQUILLA
70 168.4 2000 Hombre BARRANQUILLA
45 146.7 73117 Hombre CALI
45 161.1 9048.5 Hombre BOGOTA
45 180.7 44140.9 Mujer ARMENIA
78.8 167.2 71877.2 Mujer MEDELLIN
73.3 158.3 96234.1 Hombre CARTAGENA
69.7 155.9 2000 Mujer CALI
66 173.2 2000 Mujer ARMENIA
63.1 160.7 27851.3 Mujer CALI
73.6 193.4 20122.4 Hombre CALI
68.4 181.1 68218.8 Mujer ARMENIA
63.6 179.8 13852.6 Hombre ARMENIA
59.3 171.1 143123.1 Mujer CARTAGENA
68.2 159.8 2150.7 Hombre BARRANQUILLA
45 172.6 86186.7 Hombre ARMENIA
61.5 175.8 125109.7 Hombre CARTAGENA
70 169.1 118852.6 Mujer ARMENIA
68.4 162.7 81407.6 Hombre BARRANQUILLA
46.1 184.6 96905.1 Mujer BOGOTA
68.5 173.7 28412 Mujer ARMENIA
65.3 166.4 2000 Mujer BOGOTA
57 171 96950.3 Hombre ARMENIA
53 175.9 9310.2 Mujer BARRANQUILLA
62.5 179.7 23848.8 Mujer CARTAGENA
76.7 152.9 79835.7 Hombre BOGOTA
51 156.9 35913.6 Hombre ARMENIA
45 174.2 62897.1 Hombre BARRANQUILLA
63.3 175.4 42862.4 Hombre BOGOTA
57 162 85491.3 Mujer BARRANQUILLA
60.8 173.3 57847 Mujer BOGOTA
70.3 154.6 49713.8 Mujer CALI
52.4 165.8 2000 Hombre BARRANQUILLA
54.9 179.3 2000 Hombre BARRANQUILLA
66.5 171.1 60214.4 Mujer ARMENIA
83 176.9 57796.5 Mujer CARTAGENA
67.8 161 31340 Mujer BOGOTA
87.8 171.3 49310.2 Hombre ARMENIA
54.2 156.1 28128.1 Hombre MEDELLIN
56.6 170.2 12953.4 Mujer MEDELLIN
68.7 160.7 72371.1 Mujer CALI
57.2 154.1 64238.5 Mujer CALI
77.5 161.9 3419.3 Mujer BOGOTA
72.2 187.8 2000 Hombre ARMENIA
67.2 165.5 9080 Hombre BOGOTA
76.4 165.6 19786.8 Hombre MEDELLIN
67 165.2 32921.3 Mujer BARRANQUILLA
58.6 163.6 51749.2 Hombre MEDELLIN
66.9 162.9 80070.8 Hombre CARTAGENA
75.2 170.4 7884.2 Hombre BOGOTA
76 168.5 45862 Hombre ARMENIA
101 176.4 2000 Mujer CARTAGENA
62.2 176.1 88082.5 Mujer ARMENIA
74.9 174 2000 Mujer BOGOTA
45 168.8 10849.2 Hombre ARMENIA
45 172.1 119922.7 Hombre CALI
45 180.1 2000 Mujer ARMENIA
56.9 169 2000 Hombre BARRANQUILLA
61.1 170.4 20095.3 Hombre CALI
78.9 153.7 2000 Mujer CALI
63 160.5 19188.9 Hombre MEDELLIN
76.8 173.5 88336.5 Mujer CARTAGENA
69.6 156.4 38708 Hombre MEDELLIN
68.1 169.4 2000 Hombre CARTAGENA
45 166.7 2000 Hombre CARTAGENA
61.8 177.7 100118.1 Mujer MEDELLIN
57.9 173.9 63792.8 Hombre MEDELLIN
103 165.2 2000 Mujer BARRANQUILLA
45 178.6 36741.7 Mujer MEDELLIN
54.8 172.7 21520.2 Hombre BARRANQUILLA
85.4 170.5 2000 Hombre BOGOTA
59.9 180.7 89268.9 Mujer CARTAGENA
64.6 172.7 2000 Hombre BOGOTA
66.1 180.4 26154.1 Hombre CALI
62 168.6 50782.3 Mujer BOGOTA
49.6 175.8 27525.3 Hombre CARTAGENA
63.5 178.3 114112.3 Hombre CARTAGENA
61.9 164 81122.3 Mujer BARRANQUILLA
73.1 167.4 365 Hombre CALI
61.9 156.7 57915.5 Mujer BOGOTA
83.1 169 2000 Hombre ARMENIA
55.6 163.5 79341.7 Hombre BARRANQUILLA
61.8 167.3 111698.5 Mujer ARMENIA
65.4 164.5 19764 Mujer ARMENIA
69.2 166.6 97428 Mujer CARTAGENA
52.8 165.3 16755.4 Mujer MEDELLIN
69.6 164.4 2000 Mujer CALI
72.4 166 2000 Hombre CALI
69.3 182.4 2000 Hombre BARRANQUILLA
52 161.4 71637.3 Hombre BARRANQUILLA
71.6 178.2 2000 Hombre ARMENIA
52.6 162.7 80996.2 Mujer BARRANQUILLA
69.4 172.8 2000 Mujer ARMENIA
70.3 161.7 2000 Hombre ARMENIA
53.7 160.2 2000 Mujer BOGOTA
50.8 174 2000 Mujer BARRANQUILLA
53.2 168.2 27278.6 Hombre ARMENIA
51.4 156.3 85868.6 Hombre BARRANQUILLA
77.4 176.6 45499.6 Mujer BOGOTA
55.4 164.7 24092.3 Mujer MEDELLIN
80 171.3 35220.9 Mujer MEDELLIN
55.4 173.3 113746.9 Mujer BOGOTA
68.1 159 22 Mujer CARTAGENA
63.6 163.9 49953.3 Mujer BARRANQUILLA
48.2 184.2 71176.6 Hombre CARTAGENA
52.3 175.6 50286.8 Hombre CALI
84.1 157 2000 Hombre MEDELLIN
71 167.1 37907.8 Hombre MEDELLIN
45 159.6 140283.4 Hombre BARRANQUILLA
52.1 179.5 2000 Hombre BOGOTA
57.7 169.9 57330.6 Hombre ARMENIA
86.5 167.4 2000 Hombre CARTAGENA
82.9 179.2 2000 Hombre BOGOTA
64 180.1 2000 Hombre CARTAGENA
67.3 149.2 33312.5 Hombre BOGOTA
64.7 175.9 2000 Hombre BARRANQUILLA
74.3 166.4 96503.1 Hombre BARRANQUILLA
63.1 176.4 19446 Hombre MEDELLIN
61.9 162.4 2000 Hombre ARMENIA
62.3 175.7 60138.4 Hombre MEDELLIN
58.8 162.1 25726.2 Hombre MEDELLIN
80.8 172.9 8165.5 Mujer BARRANQUILLA
68.4 158.8 123081.9 Mujer MEDELLIN
67.2 170.7 21719.5 Mujer CALI
88 188.9 138784.8 Mujer BOGOTA
74.8 181 2000 Mujer BOGOTA
81 178.1 22203.5 Mujer CARTAGENA
67.4 160.6 2000 Hombre CARTAGENA
63.9 181.9 35618.7 Mujer BARRANQUILLA
60.2 177.8 85502.4 Hombre ARMENIA
72 165 64643.2 Hombre CALI
60.7 167 68993.6 Hombre BARRANQUILLA
50.9 164.5 25367.9 Hombre CARTAGENA
74.3 177.5 58285.6 Hombre BOGOTA
63.2 162.2 2000 Hombre CARTAGENA
52 166.9 22059.2 Hombre BOGOTA
70.7 159.8 24305.5 Hombre MEDELLIN
58.5 176.6 62123.9 Hombre MEDELLIN
64 156.4 91347.7 Hombre BARRANQUILLA
76.2 158.9 26380 Mujer MEDELLIN
71.8 156.1 37111.6 Hombre CALI
67.4 164.3 40614.5 Hombre MEDELLIN
62.8 172.6 11937.4 Mujer CALI
77.7 157.6 59610.2 Hombre CARTAGENA
52.2 183.4 2000 Hombre BOGOTA
69 171.9 2000 Hombre MEDELLIN
52.5 165.9 50536.5 Mujer BARRANQUILLA
52.2 170.5 19223.6 Mujer CALI
51.1 173.7 30719.4 Mujer BOGOTA
57.7 171.6 95604.9 Mujer CARTAGENA
70.5 172.3 2000 Hombre MEDELLIN
52.7 170 2000 Hombre BOGOTA
53.3 173.4 12106.3 Mujer BARRANQUILLA
57 168.9 7592.1 Mujer ARMENIA
71.5 167.9 2000 Mujer CARTAGENA
50.1 156.4 69183.1 Mujer CARTAGENA
45 181.1 2000 Mujer CALI
60.2 164.6 6999.5 Mujer MEDELLIN
66 177.6 5995.4 Hombre CARTAGENA
56.6 164.6 53334.4 Hombre BARRANQUILLA
51.2 181.5 61792 Hombre CALI
75.6 161.8 90873.7 Mujer MEDELLIN
57.7 165.4 117331.7 Hombre CALI
64.1 169.2 28564 Mujer CALI
61.2 170.4 67817.8 Mujer CALI
55.8 176.3 2000 Hombre BOGOTA
71.3 184.5 13762.3 Mujer CALI
60.1 177.6 13103.5 Hombre ARMENIA
65.2 169.1 2000 Mujer MEDELLIN
83.3 169.2 30470.8 Hombre CARTAGENA
67.6 153.5 2000 Hombre BARRANQUILLA
47.4 174.7 59882.1 Hombre BARRANQUILLA
80.8 176 16556.9 Hombre CALI
67 183.9 68719.2 Mujer BOGOTA
82 164.5 103836.7 Mujer CALI
72.7 158.7 23819.3 Hombre CARTAGENA
64.6 170.5 19787.7 Hombre MEDELLIN
78 162.6 2000 Mujer MEDELLIN
51.4 159.1 2000 Mujer CALI
45 162.6 2000 Hombre CARTAGENA
51.1 168.8 81182.7 Mujer BARRANQUILLA
68.1 173.9 48124.7 Mujer BOGOTA
97.2 174.8 68969.1 Mujer BARRANQUILLA
78.1 177.6 95284.8 Hombre CARTAGENA
61.1 168.9 2000 Hombre BARRANQUILLA
67.8 159.2 39313.7 Mujer CARTAGENA
64.6 172.7 100901.9 Mujer CALI
52.4 172.4 53270.5 Hombre BARRANQUILLA
45 165.6 8149 Mujer ARMENIA
58.3 168 2000 Mujer CALI
45 168.4 48739.9 Mujer BARRANQUILLA
58.9 173 2000 Hombre CARTAGENA
65.7 158.6 98700.5 Hombre CALI
48.7 171.1 2000 Mujer BOGOTA
62.9 181.7 41803.7 Hombre CALI
62 155.3 2000 Hombre BARRANQUILLA
58.3 164.3 48160.6 Mujer BARRANQUILLA
74.1 178.1 2000 Mujer CALI
70.6 194.5 2000 Mujer BOGOTA
73.4 165.7 38352.4 Hombre CARTAGENA
69.4 177 44245.2 Mujer CARTAGENA
79.3 155.5 41762.8 Hombre CARTAGENA
67.5 161.9 2000 Mujer CARTAGENA
69.6 170.3 2000 Hombre CARTAGENA
67.1 154.7 135800.5 Mujer BOGOTA
54.5 175.4 2000 Mujer CARTAGENA
58.7 184.3 2000 Hombre CARTAGENA
75.9 154.5 44237.8 Hombre BOGOTA
81.8 183.2 37905 Hombre CARTAGENA
51 159.7 2000 Hombre CARTAGENA
68.1 159 61093.5 Mujer CARTAGENA
67.9 159.2 2000 Mujer BOGOTA
72.6 171.3 30117.4 Mujer CALI
52 166.4 85139.1 Hombre CARTAGENA
45 169.4 2000 Mujer BOGOTA
67 167.4 2000 Mujer BARRANQUILLA
45 162.5 112886.7 Hombre BOGOTA
79.4 173.1 78603.5 Hombre CARTAGENA
55 161.7 2000 Hombre BOGOTA
73.2 167.4 36791.8 Hombre MEDELLIN
78.1 165 28044.2 Hombre MEDELLIN
69.7 177.7 91006.2 Hombre ARMENIA
75.3 181.8 37780.6 Hombre BARRANQUILLA
74.6 165.2 60090.1 Hombre ARMENIA
73.3 176.9 48839.2 Mujer BARRANQUILLA
56.3 186.2 49798.7 Mujer CALI
66.7 174.7 1298.7 Mujer BARRANQUILLA
101 174.6 2000 Hombre MEDELLIN
63.4 178 2000 Mujer MEDELLIN
75.3 167.2 2000 Mujer BARRANQUILLA
56 160.9 47481 Hombre MEDELLIN
78.1 177.1 54587.8 Mujer CALI
83.9 168.2 89719.3 Hombre BARRANQUILLA
66.9 170.5 2000 Mujer BARRANQUILLA
75.7 162.9 67979.2 Mujer ARMENIA
59.9 149.1 9685.8 Mujer CALI
70.8 176.4 2000 Mujer CALI
48.5 172.6 69620.3 Mujer CALI
67.3 168.3 58873.3 Hombre MEDELLIN
59.7 156.1 59015.9 Mujer BOGOTA
61.2 170.3 145100.8 Mujer ARMENIA
55.9 163.7 52330.4 Hombre CARTAGENA
56.6 164 34763.8 Hombre CARTAGENA
45 178.1 21139.8 Mujer CARTAGENA
71.9 178 2000 Mujer ARMENIA
45 173.3 51702.3 Hombre BARRANQUILLA
64.9 167.2 154061.5 Mujer BOGOTA
66.6 170.8 75205.9 Hombre BOGOTA
68.7 167.1 31021.1 Mujer BARRANQUILLA
54.6 162 58453.4 Hombre ARMENIA
67.8 166.2 2000 Hombre CARTAGENA
74.7 171.9 2000 Mujer MEDELLIN
77.4 171.6 24235.5 Mujer BARRANQUILLA
63.2 171.4 63334.7 Mujer CARTAGENA
57.6 191.2 11581.2 Hombre CARTAGENA
61.2 151.1 2000 Hombre ARMENIA
69.7 155 2000 Hombre CALI
59.5 175.3 2000 Hombre ARMENIA
72.5 169.9 54730.9 Hombre BOGOTA
58.8 172.4 14939.6 Mujer BARRANQUILLA
50.7 162.2 2000 Mujer CALI
82.5 153.4 2000 Mujer BARRANQUILLA
63.5 171.4 10519.3 Mujer BARRANQUILLA
47 174.2 117961.9 Mujer CARTAGENA
86.5 153.6 1350.9 Mujer BARRANQUILLA
45 180.6 2000 Hombre BARRANQUILLA
70.7 182.4 118002.6 Hombre BARRANQUILLA
70 167.7 120083.8 Hombre CALI
71.2 180 78367.7 Hombre CARTAGENA
62.3 169 109296.5 Hombre BARRANQUILLA
77.3 170.8 85794.8 Hombre CALI
51.9 175.5 46627.2 Hombre CARTAGENA
45 169.3 156086.1 Mujer BOGOTA
86.3 177.4 12070.1 Mujer ARMENIA
59.6 165.3 62232.5 Hombre BOGOTA
76.3 158.1 2000 Mujer BOGOTA
74.2 171.3 63476.1 Mujer MEDELLIN
69.4 188.6 30848.6 Mujer MEDELLIN
50 173.7 46175.5 Hombre CALI
45 171.9 34895.9 Hombre BOGOTA
60.5 149.6 2000 Hombre ARMENIA
71.3 164.9 68768.5 Mujer MEDELLIN
61.6 178.6 69501.2 Hombre CARTAGENA
53.4 166.6 43436.8 Hombre BARRANQUILLA
45 168.6 6935.5 Hombre MEDELLIN
74.4 169.2 1393.9 Mujer ARMENIA
45.4 164.8 26675.2 Hombre BARRANQUILLA
70.9 152.2 2000 Hombre CARTAGENA
57.6 178.8 215.9 Mujer MEDELLIN
92.5 163.5 2000 Hombre BARRANQUILLA
59.9 156.3 13976.5 Hombre CALI
53.7 163.8 26813.7 Mujer MEDELLIN
48.7 170.1 23914.5 Hombre CARTAGENA
55.7 168.9 10194.7 Hombre CARTAGENA
65.2 169.6 50275.7 Mujer BOGOTA
61.7 176.9 81051 Hombre ARMENIA
70.9 163.4 27052.5 Mujer MEDELLIN
47.3 169.4 34529.9 Hombre CARTAGENA
59.1 158.6 2000 Mujer BOGOTA
81.2 171.9 6111.7 Hombre BOGOTA
54.3 182.4 30611.5 Mujer ARMENIA
57 180.3 63774.9 Hombre CARTAGENA
45 178 2000 Mujer BOGOTA
66.2 177.3 2000 Hombre CALI
52.9 178.2 140490.2 Mujer CALI
56.5 182.6 111667.8 Hombre ARMENIA
63.9 159.6 9576.5 Hombre CALI
74.9 197.6 2000 Hombre CALI
77.3 172.8 3546.3 Mujer BOGOTA
78 193.9 29379 Mujer ARMENIA
66.8 189.6 84053.9 Hombre BARRANQUILLA
63.5 179.3 147143.1 Hombre MEDELLIN
80.2 163.5 2000 Hombre CARTAGENA
71.7 175 94321.9 Mujer ARMENIA
58.4 169.2 177169.7 Mujer CARTAGENA
53.3 169.2 2000 Hombre ARMENIA
47.4 195.7 2000 Mujer ARMENIA
59.6 173.5 12320.5 Mujer MEDELLIN
48.5 170.3 2000 Mujer MEDELLIN
83.2 170.9 104986.7 Hombre CARTAGENA
67.3 153 32700.5 Hombre CARTAGENA
93.3 162.4 2000 Mujer CALI
50.6 155.6 31300.5 Mujer BOGOTA
72 176.2 48278.5 Hombre ARMENIA
45 170.4 2000 Hombre BARRANQUILLA
73 159.7 114534.9 Mujer CARTAGENA
57.5 184 42476 Mujer ARMENIA
49.2 178.9 99101.3 Mujer ARMENIA
62.7 174.3 2000 Mujer BOGOTA
55.6 175.8 2000 Mujer BOGOTA
50.5 159.7 138826.5 Hombre CALI
56.4 166.6 14464.6 Hombre CARTAGENA
77.4 174 44563.9 Mujer BOGOTA
62.3 160 15194.4 Hombre CARTAGENA
64.1 194.6 61687.3 Hombre CALI
64.7 182 51339.8 Hombre BARRANQUILLA
76.3 180.2 55917 Hombre ARMENIA
62.2 170.5 59266.7 Hombre BOGOTA
65.1 157.1 2000 Mujer BOGOTA
68.8 180.1 16892.7 Mujer MEDELLIN
68.5 182.9 27102.3 Mujer ARMENIA
45 172.9 80693.5 Mujer BOGOTA
65.6 165.5 58928.6 Hombre CALI
60.2 175.4 2000 Hombre CARTAGENA
82.9 174.3 2000 Mujer BARRANQUILLA
82.6 162.8 38302.8 Hombre BARRANQUILLA
72.4 164.5 101412.1 Hombre ARMENIA
56.1 172 123779 Hombre BOGOTA
66.7 179 51253.7 Hombre CALI
78.3 190.5 112498 Hombre ARMENIA
52.6 159.9 38507.3 Hombre ARMENIA
59.5 164.8 28908.7 Mujer CARTAGENA
55.8 182.3 65523.4 Hombre BARRANQUILLA
65.4 171 17184.1 Hombre BARRANQUILLA
87.2 175.7 65272 Mujer BARRANQUILLA
65.2 162 5517.3 Hombre BARRANQUILLA
74.4 167 2000 Mujer BOGOTA
88.7 172.9 2000 Mujer CALI
61.8 161.5 2524.5 Mujer CARTAGENA
73.3 181 54230.8 Hombre MEDELLIN
56.3 158.5 15842.5 Hombre MEDELLIN
45 177.6 17334.9 Hombre BARRANQUILLA
76 171.5 11940 Hombre ARMENIA
90.6 158.1 2000 Hombre CALI
72 185.5 2000 Hombre ARMENIA
56.8 171.6 124767.5 Hombre BARRANQUILLA
64.9 166.4 2000 Hombre CARTAGENA
64.2 175.2 6627.1 Hombre ARMENIA
75.2 168.3 2000 Mujer BOGOTA
59.2 167.4 168297.6 Mujer BARRANQUILLA
74.1 163.8 66758.5 Mujer CARTAGENA
81.4 175.3 70442 Hombre ARMENIA
58.9 160.3 58845.3 Mujer MEDELLIN
68.2 171.3 2000 Mujer CARTAGENA
64.4 168.4 2000 Mujer BOGOTA
66.6 166.9 26600.9 Mujer CARTAGENA
80.5 176.1 47556.2 Hombre ARMENIA
51.2 173.8 93259.4 Mujer CALI
80.8 167.7 99833.1 Hombre ARMENIA
79 174.8 11282.6 Mujer ARMENIA
64 155 15650.3 Mujer CALI
59.9 161.3 39992.8 Mujer BOGOTA
84.1 170.8 50779.5 Hombre BOGOTA
73.2 183.8 52601 Mujer BOGOTA
60.2 159.5 78427.8 Hombre BARRANQUILLA
65.3 155.4 97208.7 Hombre CALI
67.2 170.8 65250.2 Mujer ARMENIA
78.3 170.1 3693.5 Mujer BOGOTA
50.2 157.1 2000 Mujer CALI
57.1 170 2000 Mujer MEDELLIN
71.3 167.5 2000 Hombre BARRANQUILLA
79.8 171.6 66981.4 Mujer BOGOTA
73.6 160.3 60518 Hombre MEDELLIN
60.7 164.7 2000 Mujer BOGOTA
70.5 163.9 2000 Hombre BOGOTA
45.1 180.4 8470.5 Hombre CARTAGENA
74.4 165.3 25162.4 Mujer CARTAGENA
66 166.6 15717.8 Hombre MEDELLIN
66.7 153.3 2000 Mujer ARMENIA
55.8 170.4 65217.1 Hombre ARMENIA
62.7 164.3 86424.7 Hombre CARTAGENA
45 178 80547.6 Hombre MEDELLIN
58.1 179 27278 Hombre ARMENIA
76.8 166.5 77144.1 Mujer CALI
57.1 156.4 2000 Mujer BOGOTA
68.8 166.8 25114.3 Mujer CARTAGENA
57 170 2000 Mujer BARRANQUILLA
57 161.5 27223.5 Hombre BARRANQUILLA
73.5 163.9 50306.4 Hombre BOGOTA
78.2 174.2 20703.5 Mujer ARMENIA
52.6 183.1 61144.2 Hombre MEDELLIN
70 158.5 44309.1 Hombre MEDELLIN
64 165 48000 Mujer MEDELLIN
52.9 149.6 2000 Hombre ARMENIA
77.2 177.2 2000 Mujer BARRANQUILLA
58 175.7 2000 Hombre BARRANQUILLA
72.7 178.3 113260.6 Hombre BARRANQUILLA
72.4 170.2 118202.5 Mujer BOGOTA
55.1 165.1 21927.4 Mujer ARMENIA
66.7 151.6 51701.8 Mujer ARMENIA
80.2 175.8 2000 Hombre BOGOTA
64.5 181 44431.5 Hombre MEDELLIN
80 175.8 67167.9 Hombre ARMENIA
85 164.2 2000 Hombre CALI
45 163.1 54954.6 Hombre BARRANQUILLA
69.4 169.1 111652.1 Hombre CALI
78.2 169.4 2000 Hombre BOGOTA
64 173.8 116745.4 Hombre MEDELLIN
50.1 181.3 85380 Mujer CARTAGENA
55.8 180.1 77244.5 Hombre CALI
63.1 173.2 22704.9 Hombre ARMENIA
77.8 160.1 2000 Mujer CALI
60.1 162.3 2000 Hombre BOGOTA
69.2 159.3 33232.5 Mujer CARTAGENA
50.3 179.5 22067.7 Hombre BOGOTA
68.1 155.1 2000 Mujer ARMENIA
69.4 160.9 42292.5 Hombre MEDELLIN
59.3 171.8 54017.2 Hombre MEDELLIN
67.7 177.8 26339.3 Mujer CALI
45.8 173.4 2000 Hombre MEDELLIN
83.9 176.3 20773 Hombre MEDELLIN
78.6 167 71070.7 Mujer ARMENIA
63.6 163.6 113142.3 Mujer CARTAGENA
61.2 154.4 67215.5 Hombre ARMENIA
73 169.5 52630.2 Hombre MEDELLIN
86.9 182.1 2000 Mujer ARMENIA
74 171.7 46010.6 Hombre CALI
73.5 182.7 48764 Mujer BARRANQUILLA
54.7 174 26013.9 Hombre CALI
54 172 447.9 Hombre MEDELLIN
65.1 162.4 81173.9 Mujer BARRANQUILLA
62 171.6 19008.7 Hombre MEDELLIN
48.8 161.1 46298.8 Hombre BARRANQUILLA
45 180 2000 Hombre ARMENIA
76.1 160.9 12071.8 Mujer BOGOTA
53.6 164.5 37702 Mujer BOGOTA
59.9 181.2 9503.5 Mujer BOGOTA
54.7 163.9 103406.8 Hombre BARRANQUILLA
62.6 180.1 89802.7 Hombre BOGOTA
45 168.4 158297.1 Hombre ARMENIA
58.6 166.6 56600.2 Mujer CARTAGENA
80.2 166.7 83798.5 Mujer BARRANQUILLA
52.6 178 2000 Hombre BOGOTA
70.9 156.4 2000 Hombre ARMENIA
68.1 156.5 99804.8 Mujer BARRANQUILLA
88.9 174.8 2000 Hombre ARMENIA
46.1 181.3 47051.6 Mujer BARRANQUILLA
63.2 188.9 65621.5 Mujer MEDELLIN
47 177.5 2000 Mujer CARTAGENA
67.8 177.5 104519.2 Hombre CARTAGENA
98.3 180.2 95074.7 Mujer BARRANQUILLA
55.5 163.6 46482.3 Mujer BARRANQUILLA
51 168.4 2000 Hombre BOGOTA
57.2 171.2 114418.6 Hombre MEDELLIN
58.7 169.5 35498.3 Mujer CALI
59.8 183.6 2000 Hombre BOGOTA
81.9 181.1 8900.2 Mujer CALI
66.3 183.4 47636.8 Mujer BARRANQUILLA
45 180.9 28124.2 Mujer BARRANQUILLA
69.6 180 47546.8 Hombre BOGOTA
61.6 156.4 130925.7 Hombre BOGOTA
53.8 175.5 37913.6 Hombre CALI
45 153.5 79663.5 Mujer BARRANQUILLA
58.1 170.7 21855.4 Hombre MEDELLIN
76 174.3 161902.8 Mujer MEDELLIN
